I, [2018-07-06T14:15:18.046116 #24487]  INFO -- Kitchen: -----> Starting Kitchen (v1.16.0)
E, [2018-07-06T14:15:18.046532 #24487] ERROR -- Kitchen: ------Exception-------
E, [2018-07-06T14:15:18.046575 #24487] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2018-07-06T14:15:18.046598 #24487] ERROR -- Kitchen: Message: Kitchen YAML file /root/chef-repo/cookbooks/.kitchen.yml does not exist.
E, [2018-07-06T14:15:18.046615 #24487] ERROR -- Kitchen: ----------------------
E, [2018-07-06T14:15:18.046631 #24487] ERROR -- Kitchen: ------Backtrace-------
E, [2018-07-06T14:15:18.046646 #24487] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/loader/yaml.rb:71:in `read'
E, [2018-07-06T14:15:18.046670 #24487] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:152:in `data'
E, [2018-07-06T14:15:18.046686 #24487] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:131:in `suites'
E, [2018-07-06T14:15:18.046701 #24487] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:182:in `filter_instances'
E, [2018-07-06T14:15:18.046717 #24487] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2018-07-06T14:15:18.046733 #24487] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:117:in `instances'
E, [2018-07-06T14:15:18.046749 #24487] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2018-07-06T14:15:18.046771 #24487] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2018-07-06T14:15:18.046787 #24487] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/command/action.rb:35:in `block in call'
E, [2018-07-06T14:15:18.046802 #24487] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.4.0/benchmark.rb:293:in `measure'
E, [2018-07-06T14:15:18.046818 #24487] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/command/action.rb:34:in `call'
E, [2018-07-06T14:15:18.046833 #24487] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/cli.rb:53:in `perform'
E, [2018-07-06T14:15:18.046848 #24487] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/cli.rb:187:in `block (2 levels) in <class:CLI>'
E, [2018-07-06T14:15:18.046873 #24487] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2018-07-06T14:15:18.046892 #24487] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2018-07-06T14:15:18.046908 #24487] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/cli.rb:334:in `invoke_task'
E, [2018-07-06T14:15:18.046924 #24487] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2018-07-06T14:15:18.046947 #24487] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2018-07-06T14:15:18.046966 #24487] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/bin/kitchen:13:in `block in <top (required)>'
E, [2018-07-06T14:15:18.046987 #24487] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2018-07-06T14:15:18.047005 #24487] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/bin/kitchen:13:in `<top (required)>'
E, [2018-07-06T14:15:18.047023 #24487] ERROR -- Kitchen: /opt/chefdk/bin/kitchen:263:in `load'
E, [2018-07-06T14:15:18.047046 #24487] ERROR -- Kitchen: /opt/chefdk/bin/kitchen:263:in `<main>'
E, [2018-07-06T14:15:18.047071 #24487] ERROR -- Kitchen: ----End Backtrace-----
